Book_ID,Title,Author,Language,Pages,Ratings,Reviews,Publication_Date,Genre,Price,Year,Genre_Weight
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,eng,6.481577129276431,4.57,2.744407452426359,2006-09-16,Romance,4653.072287828164,2006,800
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,eng,6.769641976852503,4.49,2.746145332561739,2004-09-01,Comedy,5033.007372793224,2004,700
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,eng,5.8664680569332965,4.42,2.277645390657122,2003-11-01,Horror,5651.093900204379,2003,1500
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,eng,6.077642243349034,4.56,2.7514598558507157,2004-05-01,Thriller,6105.698830452053,2004,600
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,eng,7.897668150726906,4.78,2.4537372587119446,2004-09-13,Thriller,6232.327088885732,2004,600
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,en-US,5.030437921392435,3.74,1.3852268599316875,2005-04-26,Romance,3851.1314444210175,2005,700
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,eng,8.114623886420098,4.73,2.4202437580953586,2005-09-12,Horror,5998.316853537937,2005,1500
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,6.704414354964107,4.38,2.218846073149268,2005-11-01,Fantasy,7020.972894414209,2005,1500
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,6.704414354964107,4.38,2.5973011666904995,2002-04-30,Comedy,4795.818403768332,2002,1000
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng,5.375278407684165,4.22,2.2516388001023144,2004-08-03,Drama,4993.669448163915,2004,700
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,eng,1.9459101490553132,4.22,2.0973314561419665,2005-03-23,Drama,4991.651348595303,2005,700
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,6.704414354964107,4.38,2.1933114741744664,1996-01-17,Horror,5624.419434516729,1996,1000
21,A Short History of Nearly Everything,Bill Bryson,eng,6.300785794663244,4.21,2.597002098847083,2004-09-14,Drama,5160.715925777973,2004,700
22,Bill Bryson's African Diary,Bill Bryson,eng,4.02535169073515,3.44,2.291690877199263,2002-12-03,Drama,4451.67612153463,2002,700
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,eng,5.54907608489522,3.87,2.1569164278070216,2004-09-14,Romance,3971.673164478607,2004,800
24,In a Sunburned Country,Bill Bryson,eng,5.817111159963204,4.07,2.500671688667265,2001-05-15,Comedy,4569.409392065991,2001,1000
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,eng,5.720311776607412,3.9,2.4684792804412656,2000-06-28,Fantasy,6549.2541635762755,2000,1000
26,The Lost Continent: Travels in Small Town America,Bill Bryson,eng,5.703782474656201,3.83,2.462161427329776,1990-08-28,Thriller,5603.291792226101,1990,600
27,Neither Here nor There: Travels in Europe,Bill Bryson,eng,5.541263545158426,3.86,2.4675464443089083,1993-03-28,Romance,4044.5799153340595,1993,1000
28,Notes from a Small Island,Bill Bryson,eng,5.783825182329737,3.91,2.509386068131951,1997-05-28,Comedy,4476.61511045979,1997,1200
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,eng,5.602118820879701,3.93,2.4210175557262934,1991-09-28,Horror,5252.144131990223,1991,800
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,eng,7.455298485683291,4.59,2.527741812348166,2012-09-25,Thriller,6016.880150948483,2012,1500
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,eng,7.077498053569231,4.5,2.1335548074825423,2004-10-21,Drama,5245.905441819639,2004,1500
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,eng,5.988961416889864,4.36,2.745419015280488,2003-09-05,Romance,4395.321129865846,2003,600
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,en-US,7.104144092987527,4.5,2.126988546980439,2002-10-01,Horror,5698.781736557794,2002,1200
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,eng,5.389071729816501,4.53,2.3882670846223246,2003-11-05,Drama,5313.608143058562,2003,800
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,eng,5.41610040220442,4.5,1.9295054724772276,2004-11-15,Drama,5301.272555291812,2004,800
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,eng,6.326149473155099,3.84,2.1121662953967393,2005-07-28,Romance,3941.7396190027757,2005,600
50,Hatchet (Brian's Saga  #1),Gary Paulsen,eng,5.342334251964811,3.72,2.603214305876846,2000-04-01,Thriller,5496.168115626981,2000,1500
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,eng,3.8918202981106265,4.0,1.5284269505599697,1994-08-28,Thriller,5609.67910101821,1994,1500
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,eng,4.976733742420574,3.88,2.155746955396251,2001-01-23,Fantasy,6463.109370388037,2001,1500
54,Molly Hatchet - 5 of the Best,Molly Hatchet,eng,4.04305126783455,4.33,1.0804178182729876,2003-06-10,Comedy,4541.90280718399,2003,1500
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,en-US,5.43372200355424,3.45,1.7236894193081456,2005-11-01,Comedy,4088.043382001899,2005,600
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,eng,5.720311776607412,3.76,1.8122095959040794,2005-11-01,Drama,4719.627195122556,2005,600
58,Changeling (Changeling  #1),Delia Sherman,eng,5.54907608489522,3.6,2.065156449177311,2006-08-17,Fantasy,6246.497166615635,2006,1500
59,The Changeling Sea,Patricia A. McKillip,eng,4.927253685157205,4.06,2.240899281930317,2003-04-14,Horror,5450.635001896176,2003,600
61,The Changeling,Zilpha Keatley Snyder,eng,5.43372200355424,4.17,2.088243206541556,2004-06-08,Comedy,4720.498760725241,2004,800
63,The Changeling,Kate Horsley,eng,5.8289456176102075,3.55,1.903662587911754,2005-04-12,Fantasy,6268.94517114338,2005,700
66,The Changeling (Daughters of England  #15),Philippa Carr,eng,5.91350300563827,3.98,1.9237286302332202,1990-08-28,Fantasy,6528.642923136087,1990,1200
67,The Known World,Edward P. Jones,eng,5.963579343618446,3.83,2.424666833169383,2006-08-29,Fantasy,6512.7382701893075,2006,600
68,The Known World,Edward P. Jones/Kevin R. Free,en-US,2.70805020110221,3.83,1.6144954397020792,2004-06-15,Romance,3839.610547992252,2004,1500
69,The Known World,Edward P. Jones,eng,6.3578422665081,3.83,1.4196068415100236,2004-06-15,Fantasy,6473.117529481164,2004,700
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,eng,5.814130531825066,3.83,2.114342216480991,2006-05-15,Horror,5245.7168322846,2006,700
72,Artesia: Adventures in the Known World,Mark Smylie,eng,5.8664680569332965,4.13,1.6034785735048491,2005-12-14,Romance,4114.677218489151,2005,800
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,eng,6.0330862217988015,4.42,1.992422841227893,1982-06-01,Romance,4382.904008558765,1982,1500
75,Uncommon Carriers,John McPhee,en-US,5.517452896464707,3.95,2.127868378261056,2006-05-16,Fantasy,6624.135895755399,2006,1200
76,Heirs of General Practice,John McPhee,eng,4.859812404361672,4.17,1.8862680216940895,1986-04-01,Drama,5050.823050256642,1986,1500
77,The Control of Nature,John McPhee,en-US,5.666426688112432,4.24,2.214871559626788,1990-09-01,Drama,5097.815689724927,1990,1200
78,Annals of the Former World,John McPhee,eng,6.580639137284949,4.34,2.2021353228626612,1999-01-06,Drama,5210.826315031965,1999,1000
79,Coming Into the Country,John McPhee,eng,6.1070228877422545,4.22,2.266864466663062,1991-04-01,Fantasy,6703.826904421151,1991,1000
80,La Place de la Concorde Suisse,John McPhee,fre,5.081404364984463,3.92,2.0215013028841584,1994-04-01,Fantasy,6550.778217588106,1994,600
81,Giving Good Weight,John McPhee,eng,5.666426688112432,4.23,1.9874782861614542,1994-04-01,Thriller,5797.076362378394,1994,600
83,Rising from the Plains,John McPhee,eng,5.342334251964811,4.23,2.104367824227211,1987-11-01,Romance,4218.283467462017,1987,700
85,The Heidi Chronicles,Wendy Wasserstein,eng,4.406719247264253,3.75,2.111572892754485,2002-03-01,Drama,4819.2916742207335,2002,700
